symbol,description,exchange,listedMarket,securityType
@BAB11N25,BTIC ON BITCOIN FRIDAY FUTURES VS BRRAP July 11 2025,CME,CME_GBX,DAILY_FUTURE
@BFB11N25,BTIC ON BITCOIN FRIDAY FUTURES July 11 2025,CME,CME_GBX,DAILY_FUTURE
@BFF04N25,BITCOIN FRIDAY FUTURES July 04 2025,CME,CME_GBX,DAILY_FUTURE
@BFF11N25,BITCOIN FRIDAY FUTURES July 11 2025,CME,CME_GBX,DAILY_FUTURE
@BFF18N25,BITCOIN FRIDAY FUTURES July 18 2025,CME,CME_GBX,DAILY_FUTURE
@BLB11N25,BTIC ON BITCOIN FRIDAY FUTURES VS BRR July 11 2025,CME,CME_GBX,DAILY_FUTURE
@EQ118N25,TACO ON E-MINI S&P 500 July 18 2025,CME,CMEMINI,DAILY_FUTURE
@EQ115Q25,TACO ON E-MINI S&P 500 August 15 2025,CME,CMEMINI,DAILY_FUTURE
@EQ119U25,TACO ON E-MINI S&P 500 September 19 2025,CME,CMEMINI,DAILY_FUTURE
@ES107N25,NEARBY BTIC ON E-MINI S&P 500 July 07 2025,CME,CME_GBX,DAILY_FUTURE
@ES109N25,NEARBY BTIC ON E-MINI S&P 500 July 09 2025,CME,CME_GBX,DAILY_FUTURE
@ES111N25,NEARBY BTIC ON E-MINI S&P 500 July 11 2025,CME,CME_GBX,DAILY_FUTURE
@ES114N25,NEARBY BTIC ON E-MINI S&P 500 July 14 2025,CME,CME_GBX,DAILY_FUTURE
@ES116N25,NEARBY BTIC ON E-MINI S&P 500 July 16 2025,CME,CME_GBX,DAILY_FUTURE
@ES118N25,NEARBY BTIC ON E-MINI S&P 500 July 18 2025,CME,CME_GBX,DAILY_FUTURE
@ES121N25,NEARBY BTIC ON E-MINI S&P 500 July 21 2025,CME,CME_GBX,DAILY_FUTURE
@ES125N25,NEARBY BTIC ON E-MINI S&P 500 July 25 2025,CME,CME_GBX,DAILY_FUTURE
@ES207N25,DEFERRED BTIC ON E-MINI S&P 500 July 07 2025,CME,CME_GBX,DAILY_FUTURE
@ES209N25,DEFERRED BTIC ON E-MINI S&P 500 July 09 2025,CME,CME_GBX,DAILY_FUTURE
@ES211N25,DEFERRED BTIC ON E-MINI S&P 500 July 11 2025,CME,CME_GBX,DAILY_FUTURE
@ES214N25,DEFERRED BTIC ON E-MINI S&P 500 July 14 2025,CME,CME_GBX,DAILY_FUTURE
