symbol,description,exchange,listedMarket,securityType
@MWN25-@MWU25,HARD RED SPRING WHEAT-MGE Jul 25/Sep 25,MGE,MGE_GBX,SPREAD
@MWN25-@MWZ25,HARD RED SPRING WHEAT-MGE Jul 25/Dec 25,MGE,MGE_GBX,SPREAD
@MWN25-@MWH26,HARD RED SPRING WHEAT-MGE Jul 25/Mar 26,MGE,MGE_GBX,SPREAD
@MWN25-@MWK26,HARD RED SPRING WHEAT-MGE Jul 25/May 26,MGE,MGE_GBX,SPREAD
@MWN25-@MWN26,HARD RED SPRING WHEAT-MGE Jul 25/Jul 26,MGE,MGE_GBX,SPREAD
@MWN25-@MWU26,HARD RED SPRING WHEAT-MGE Jul 25/Sep 26,MGE,MGE_GBX,SPREAD
@MWN25-@MWZ26,HARD RED SPRING WHEAT-MGE Jul 25/Dec 26,MGE,MGE_GBX,SPREAD
@MWU25-@MWZ25,HARD RED SPRING WHEAT-MGE Sep 25/Dec 25,MGE,MGE_GBX,SPREAD
@MWU25-@MWH26,HARD RED SPRING WHEAT-MGE Sep 25/Mar 26,MGE,MGE_GBX,SPREAD
@MWU25-@MWK26,HARD RED SPRING WHEAT-MGE Sep 25/May 26,MGE,MGE_GBX,SPREAD
@MWU25-@MWN26,HARD RED SPRING WHEAT-MGE Sep 25/Jul 26,MGE,MGE_GBX,SPREAD
@MWU25-@MWU26,HARD RED SPRING WHEAT-MGE Sep 25/Sep 26,MGE,MGE_GBX,SPREAD
@MWU25-@MWZ26,HARD RED SPRING WHEAT-MGE Sep 25/Dec 26,MGE,MGE_GBX,SPREAD
@MWZ25-@MWH26,HARD RED SPRING WHEAT-MGE Dec 25/Mar 26,MGE,MGE_GBX,SPREAD
@MWZ25-@MWK26,HARD RED SPRING WHEAT-MGE Dec 25/May 26,MGE,MGE_GBX,SPREAD
@MWZ25-@MWN26,HARD RED SPRING WHEAT-MGE Dec 25/Jul 26,MGE,MGE_GBX,SPREAD
@MWZ25-@MWU26,HARD RED SPRING WHEAT-MGE Dec 25/Sep 26,MGE,MGE_GBX,SPREAD
@MWZ25-@MWZ26,HARD RED SPRING WHEAT-MGE Dec 25/Dec 26,MGE,MGE_GBX,SPREAD
@MWH26-@MWK26,HARD RED SPRING WHEAT-MGE Mar 26/May 26,MGE,MGE_GBX,SPREAD
@MWH26-@MWN26,HARD RED SPRING WHEAT-MGE Mar 26/Jul 26,MGE,MGE_GBX,SPREAD
@MWH26-@MWU26,HARD RED SPRING WHEAT-MGE Mar 26/Sep 26,MGE,MGE_GBX,SPREAD
@MWH26-@MWZ26,HARD RED SPRING WHEAT-MGE Mar 26/Dec 26,MGE,MGE_GBX,SPREAD
@MWK26-@MWN26,HARD RED SPRING WHEAT-MGE May 26/Jul 26,MGE,MGE_GBX,SPREAD
@MWK26-@MWU26,HARD RED SPRING WHEAT-MGE May 26/Sep 26,MGE,MGE_GBX,SPREAD
@MWK26-@MWZ26,HARD RED SPRING WHEAT-MGE May 26/Dec 26,MGE,MGE_GBX,SPREAD
@MWN26-@MWU26,HARD RED SPRING WHEAT-MGE Jul 26/Sep 26,MGE,MGE_GBX,SPREAD
@MWN26-@MWZ26,HARD RED SPRING WHEAT-MGE Jul 26/Dec 26,MGE,MGE_GBX,SPREAD
@MWU26-@MWZ26,HARD RED SPRING WHEAT-MGE Sep 26/Dec 26,MGE,MGE_GBX,SPREAD
@MWZ26-@MWH27,HARD RED SPRING WHEAT-MGE Dec 26/Mar 27,MGE,MGE_GBX,SPREAD
