symbol,description,exchange,listedMarket,securityType
@MWBFN25U25Z25,HARD RED SPRING WHEAT-MGE Jul/2025 BUTTERFLY SPREAD,MGE,MGE_GBX,STRATSPREAD
@MWBFN25Z25U25,HARD RED SPRING WHEAT-MGE Jul/2025 BUTTERFLY SPREAD,MGE,MGE_GBX,STRATSPREAD
@MWBFU25Z25H26,HARD RED SPRING WHEAT-MGE Sep/2025 BUTTERFLY SPREAD,MGE,MGE_GBX,STRATSPREAD
@MWBFU25H26Z25,HARD RED SPRING WHEAT-MGE Sep/2025 BUTTERFLY SPREAD,MGE,MGE_GBX,STRATSPREAD
@MWBFZ25H26K26,HARD RED SPRING WHEAT-MGE Dec/2025 BUTTERFLY SPREAD,MGE,MGE_GBX,STRATSPREAD
@MWBFZ25K26H26,HARD RED SPRING WHEAT-MGE Dec/2025 BUTTERFLY SPREAD,MGE,MGE_GBX,STRATSPREAD
@MWBFH26K26N26,HARD RED SPRING WHEAT-MGE Mar/2026 BUTTERFLY SPREAD,MGE,MGE_GBX,STRATSPREAD
@MWBFH26N26K26,HARD RED SPRING WHEAT-MGE Mar/2026 BUTTERFLY SPREAD,MGE,MGE_GBX,STRATSPREAD
@MWBFH26N26U26,HARD RED SPRING WHEAT-MGE Mar/2026 BUTTERFLY SPREAD,MGE,MGE_GBX,STRATSPREAD
@MWBFK26N26U26,HARD RED SPRING WHEAT-MGE May/2026 BUTTERFLY SPREAD,MGE,MGE_GBX,STRATSPREAD
@MWBFK26U26N26,HARD RED SPRING WHEAT-MGE May/2026 BUTTERFLY SPREAD,MGE,MGE_GBX,STRATSPREAD
